Date,Return - INFY,Return - IRCTC,Return - TATAELXSI
2021-11-01,0.019367441,0.011528911,0.017352723
2021-11-02,-0.001264683,-0.008475071,0.017650849
2021-11-03,0.002709215,-0.033423763,0.018167197
2021-11-04,0.003641675,0.002927394,0.004846448
2021-11-08,0.016854948,0.012891427,-0.005715389
2021-11-09,0.002877698,0.027796151,0.013816720
2021-11-10,-0.001348623,-0.007184607,0.022352456
2021-11-11,-0.003936428,-0.003000515,0.028337856
2021-11-12,0.027058155,0.020712839,-0.005923997
2021-11-15,0.003904097,0.044574260,0.010156012
2021-11-16,0.002881697,0.019537263,-0.003013870
2021-11-17,-0.002706075,-0.018945782,-0.000644003
2021-11-18,-0.004503582,-0.014331510,-0.030985140
2021-11-22,-0.011239744,-0.004378851,-0.056480099
2021-11-23,-0.012788450,0.006822654,0.001434607
2021-11-24,-0.023547713,-0.033602151,-0.004338894
2021-11-25,0.015566052,0.003187297,-0.010170885
2021-11-26,-0.017852996,-0.049101728,-0.018971266
2021-11-29,0.002778324,-0.057408421,-0.027208744
2021-11-30,0.009608895,0.024942042,0.018012590
2021-12-01,0.001313754,0.021128073,0.017607481
2021-12-02,0.019447184,0.011453892,0.016367914
2021-12-03,-0.007264379,-0.001643806,-0.013796563
2021-12-06,-0.023191495,-0.022563727,-0.033134071
2021-12-07,0.009644296,0.027015178,0.034427388
2021-12-08,0.024362429,0.034445096,-0.001398744
2021-12-09,0.005760387,0.006401165,0.009083346
2021-12-10,-0.002381667,0.001283814,0.008471599
2021-12-13,-0.008298977,0.000874177,-0.020037555
2021-12-14,0.004298856,-0.004250639,0.025248405
2021-12-15,-0.010244598,-0.004502633,-0.025656140
2021-12-16,0.021566155,0.001116086,0.007064347
2021-12-17,0.027799729,-0.023176670,-0.029827887
2021-12-20,-0.012054783,-0.046011589,-0.052131231
2021-12-21,0.007059843,0.026004313,0.000128859
2021-12-22,0.007231163,0.030684259,0.007755985
2021-12-23,0.018030375,0.001905300,0.002620233
2021-12-24,0.003176154,-0.004932506,0.001821162
2021-12-27,0.001422068,0.002150010,-0.010343556
2021-12-28,0.011708585,0.029201430,0.015613232
2021-12-29,-0.001297644,-0.016386826,0.032193304
2021-12-30,0.003871511,-0.019249987,0.018757303
2021-12-31,-0.002694337,-0.001500600,0.009261904
2022-01-03,0.005668097,0.016711781,0.004371149
2022-01-04,0.000368760,0.002838011,0.014269612
2022-01-05,-0.028697048,-0.008784874,-0.002333687
2022-01-06,-0.014555593,0.003152539,-0.015132969
2022-01-07,-0.001925404,0.020990231,-0.012598855
2022-01-10,0.020090365,0.014518845,0.033347483
2022-01-11,0.002620546,-0.012650968,-0.009043992
2022-01-12,0.011775154,-0.001333516,0.029526432
2022-01-13,0.010306585,0.008011639,0.047046973
2022-01-14,0.017160442,0.039797255,-0.014019604
2022-01-17,0.005260852,-0.005926704,0.013640700
2022-01-18,-0.009667440,-0.040396725,-0.003407307
2022-01-19,-0.027957803,0.017245426,0.094247481
2022-01-20,-0.023218498,0.005080212,0.064953985
2022-01-21,-0.020836761,-0.021240358,-0.030920065
2022-01-24,-0.027384165,-0.060229805,-0.022220061
2022-01-25,-0.008435067,0.024820988,0.019671339
2022-01-27,-0.025288185,-0.019399971,-0.028561718
2022-01-28,0.004527568,0.037847123,0.029967810
2022-01-31,0.029652474,0.027705452,0.059054900
2022-02-01,0.020648600,-0.012787991,-0.018731884
2022-02-02,0.008492947,0.004667989,0.002364401
2022-02-03,-0.027166878,-0.000290394,-0.025212149
2022-02-04,0.001466697,-0.005693399,0.017953441
2022-02-07,-0.014990510,-0.023546625,0.028990681
2022-02-08,0.001341136,0.002932039,-0.003200203
2022-02-09,0.011646188,0.014199659,0.006841233
2022-02-10,0.018592026,-0.004764972,-0.008359755
2022-02-11,-0.027266049,-0.017909946,-0.027092430
2022-02-14,-0.022743792,-0.039000932,-0.065730777
2022-02-15,0.033319493,0.027744754,0.028894457
2022-02-16,-0.002847663,0.005484461,-0.015827453
2022-02-17,-0.004903940,-0.003818211,-0.008180324
2022-02-18,-0.010349082,-0.006692219,0.006374932
2022-02-21,0.013913706,-0.015863236,-0.036146303
2022-02-22,0.002108988,-0.017177057,-0.025568083
2022-02-23,0.004900972,0.031344986,0.006538772
2022-02-24,-0.037123076,-0.093694345,-0.080204414
2022-02-25,0.009802432,0.083937420,0.070076208
2022-02-28,0.012392305,0.011687470,-0.010446541
2022-03-02,-0.007460904,-0.000679543,0.020670523
2022-03-03,0.010600145,-0.011313012,0.014433037
2022-03-04,0.001423757,-0.065528697,0.002109796
2022-03-07,0.009603625,-0.039143526,-0.017808993
2022-03-08,0.022042116,0.000069621,0.002738502
2022-03-09,0.019767195,0.023675232,0.063946292
2022-03-10,0.006920919,0.031358395,0.002438125
2022-03-11,-0.002135946,-0.000461649,0.015855863
2022-03-14,0.037705791,-0.006466544,0.006803587
2022-03-15,-0.027185647,0.004715479,-0.024017868
2022-03-16,0.027238609,0.015666282,0.030861200
2022-03-17,-0.018418571,0.002863667,0.030270067
2022-03-21,-0.000835720,0.000389367,-0.003767619
2022-03-22,0.018536993,-0.006422331,0.014702022
2022-03-23,-0.007947441,0.000848817,0.023879868
2022-03-24,0.007637218,0.007893519,-0.011063455
2022-03-25,-0.005379712,-0.003171537,0.109282402
2022-03-28,-0.001412179,-0.004934729,0.070785214
